Source,Filename,Oorzaak,Gevolg,Citaat
knmi,19,Toename van luchtvervuiling door economische groei en urbanisatie in Zuid-Azië.,Beperkte luchtkwaliteitsmonitoring in Zuid-Azië.,"De rapid economic growth, urbanization, and industrialization in this region have increased air pollution problems."
knmi,19,Invloed van aerosolen op het wereldklimaat.,Impact van aerosolen op de hydrologische cyclus.,Aerosol particles influence the global climate by changing the radiation energy balance... Or indirectly by changing the physical and optical properties of clouds that affect the hydrological cycle.
knmi,20,Valse waarschuwingen door het KNMI.,Verlies van vertrouwen in het waarschuwingssysteem.,Bij het frequent afgeven van valse (weer)waarschuwingen kan het publieke vertrouwen in de betrouwbaarheid en geloofwaardigheid van een waarschuwingssysteem afnemen.
knmi,20,Onvoldoende precisie in weeradviezen.,Verlies van vertrouwen in het waarschuwingssysteem.,Bovendien is er een grote groep burgers die behoefte heeft aan een preciezer advies over het gevaar in hun provincie.
knmi,22,Onbetrouwbare windmetingen door regen bij Ku-band scatterometers.,Hoge afkeuringspercentages van windmetingen door kwaliteitscontrole.,In rainy areas the retrieved winds are usually not reliable... Therefore a Quality Control mechanism is necessary to filter out these winds.
knmi,22,Hoge afkeuringspercentages van windmetingen door kwaliteitscontrole.,De inconsistentie in winddata kan leiden tot onbetrouwbare weersvoorspellingen.,"Overall, 5 to 6% of the Ku-band winds are currently rejected... the quality control for ScatSat-1 and subsequently for all Ku-band instruments."
knmi,22,Te optimistische afkeuringspercentages van windmetingen door nieuwe methoden.,Verlies van nauwkeurigheid in windmetingen door conservatieve drempels.,Only ~1% of the winds are rejected which is probably too optimistic and not suitable for NWP assimilation.
knmi,28,Droogte en neerslagtekort,Verminderde gewasopbrengsten door droogte,"Meteorologische droogte leidt in vrij-afwaterende gebieden (zoals de Hoge Veluwe, Drents Plateau en De Peel) tot bodemvochttekort en als het lang aanhoudt tot uitzakkende grondwaterstanden, met onder andere verminderde gewasopbrengsten en droogvallende beken tot gevolg."
knmi,28,Droogte en neerslagtekort,Problemen met zoetwatervoorziening,"De hoge temperaturen en het uitblijven van neerslag leidden tot grote neerslagtekorten, lage grondwaterstanden en lage waterstanden in de rivieren, meren en sloten. Met als resultaat een grote druk op de zoetwatervoorziening."
knmi,28,Verzilting door droogte,Problemen met zoetwatervoorziening,"In kustgebieden zonder wateraanvoermogelijkheden (zoals Zeeland) kan langdurige droogte leiden tot verzilting van het ondiepe grondwater, wat schadelijk is voor landbouwgewassen."
knmi,29,Klimaatverandering beïnvloedt de kenmerken van neerslag.,Toename van extreme neerslaghoeveelheden.,Als gevolg van klimaatverandering veranderen de kenmerken van onder andere neerslag en verdamping.
knmi,29,Toename van extreme neerslaghoeveelheden.,Extreme neerslag kan leiden tot wateroverlast in woonwijken.,Deze kennis is de basis voor het uitvoeren van de Stresstest voor wateroverlast.
knmi,29,Toename van extreme neerslaghoeveelheden.,Extreme neerslag kan leiden tot overstromingen.,"De statistiek van extreme neerslag wordt in het waterbeheer regelmatig gebruikt, onder andere bij de bepaling van de kans op hoge waterstanden en afvoeren, overstromingen en inundaties."
knmi,30,Afname van meteorologische observaties vanuit vliegtuigen in Europa.,Verlies van signaalniveaus voor de atmosferische metingen.,daily weather forecasts (also caused by the decline in aircraft data)
knmi,30,Veranderingen in de temperatuur van de telescoopspiegel kunnen de prestaties van de satelliet beïnvloeden.,Verhoogde bias in metingen kan de nauwkeurigheid van weersvoorspellingen beïnvloeden.,Rayleigh and Mie bias as a function of orbital phase (argument of latitude) and longitude
knmi,30,Langzame driften in de verlichting van spectrometers kunnen leiden tot constante bias in de metingen.,Verhoogde bias in metingen kan de nauwkeurigheid van weersvoorspellingen beïnvloeden.,slow drifts in the illumination of the Rayleigh/Mie spectrometers causing a slowly drifting constant bias
knmi,38,Veranderingen in backscatter door instrumentafwijkingen.,Afname van de representativiteit van windmetingen door variaties in beschikbaarheid van boeien.,De bands met hoge rejection rates near the edges of the Arctic and Antarctic sea ice shelves can be associated with the freezing seasons.
knmi,38,Onbetrouwbare winddata door kwaliteitsproblemen.,Verlies van nauwkeurigheid in windmetingen door kwaliteitscontrole.,Elimination of poor quality data is therefore very important for the successful use of the wind data.
knmi,48,Onderestimatie van neerslaghoeveelheden en trends in extreme neerslag.,Toename van extreme neerslaghoeveelheden in de toekomst.,De mate van onderschatting wordt aangeduid met de zogenoemde Hershfield factor.
knmi,48,Onderestimatie van neerslaghoeveelheden en trends in extreme neerslag.,Verandering in extreme neerslag in de toekomst.,Die schalingsfactoren op basis van “2014” geven met name inzicht in hoeveel de extreme neerslag in de toekomst gerekend vanaf anno nu (“2014”) nog kan veranderen.
knmi,49,Onzekerheden in klimaatverandering en sociaaleconomische ontwikkelingen kunnen leiden tot kantelpunten.,Continue monitoring van sociaaleconomische en klimatologische omstandigheden is noodzakelijk.,Onzekerheden in klimaatverandering en sociaaleconomische ontwikkelingen kunnen leiden tot kantelpunten. Continue monitoring van sociaaleconomische en klimatologische omstandigheden is noodzakelijk.
knmi,54,Inconsistenties in winddata door verschillende verwerkingsmethoden.,Onbetrouwbare winddata door kalibratiefouten.,"An inconsistency is present between NWP operational winds and NWP ERA-interim winds, which is eliminated with the help of NWP ocean calibration (NOC)."
knmi,54,Onbetrouwbare winddata door kalibratiefouten.,Fouten in windmetingen door buoys.,Wind speed biases do not vary much and the standard deviations show a slight improvement when HOC corrections are applied.
knmi,61,Irregularities in wind speed data at low wind conditions.,Inconsistent wind measurements due to model inaccuracies.,"Since CMOD5N is based on ESCAT, it also incorporates irregularities at low wind speeds."
knmi,61,High rejection rates in wind retrieval affect data quality.,Uncertainty in wind measurements due to variability.,which may explain the degraded QC at modal and higher winds due to higher rejection rates.
knmi,76,Toename van extreme neerslag in de stroomgebieden van de Rijn en de Maas.,Verhoogde rivierafvoeren door extreme neerslag in 2050.,"Alle scenario’s wijzen op sterk toenemende hoeveelheden extreme neerslag in de stroomgebieden, die al in 2050 veel grotere rivierafvoeren genereren."
knmi,76,Verhoogde kans op overstromingen door frequentere hoogwater.,Problemen door lage rivierafvoeren.,"Frequenter hoogwater betekent ook een toename van de overstromingsrisico’s, doordat de kans op het doorbreken van dijken toeneemt als deze veel vaker zwaar belast worden."
knmi,76,Extreme droogte in de stroomgebieden van Rijn en Maas.,Afname van laagwaterafvoeren in de Rijn en de Maas.,"Voor de Maas, die een veel variabeler afvoerregime kent met zeer lage afvoeren in de (na)zomer, wordt in de meeste scenario’s verwacht dat die lage afvoeren verder afnemen;"
knmi,85,Toename van de gemiddelde en maximale afvoer voor de Meuse en Rijn.,Afname van de minimale afvoer voor de Meuse en Rijn.,Voor de Meuse mean en maximum discharge zijn projected to increase whereas minimum discharge is projected to decrease.
knmi,107,Extreme neerslag kan voor aanzienlijke wateroverlast zorgen.,Een tekort aan bruikbare regenmeters kan de benodigde neerslaginformatie niet leveren.,Extreme neerslag in de stad kan voor aanzienlijke wateroverlast zorgen.
knmi,107,Fouten in radarbeelden kunnen de neerslagschatting negatief beïnvloeden.,Een tekort aan bruikbare regenmeters kan de benodigde neerslaginformatie niet leveren.,De fouten(bronnen) die hiervoor kunnen zorgen... ziet u deels in figuur 21.1.
knmi,107,De kans op extreme neerslag op een willekeurige locatie in een gebied is veel groter dan de bekende neerslagstatistieken aangeven.,Extreme neerslag komt gemiddeld vaker voor in stedelijke gebieden.,De gemiddelde herhalingstijd voor het overschrijden van dezelfde neerslagsom ergens in een gebied wordt daarom (veel) korter.
