Topic,Count,Name,Representation,Representative_Docs
26,164,26_Veenverandering,['Veenverandering'],"['Verhoogde erosie van veengebieden door klimaatverandering.', 'Verhoogde uitstoot van broeikasgassen door veranderingen in veengebieden.', 'Verlies van koolstof uit veengebieden door stikstofdepositie.']"
27,159,27_Rivierafvoer,['Rivierafvoer'],"['Klimaatverandering beïnvloedt de afvoer van rivieren.', 'Veranderingen in de hydrologie van rivieren door klimaatverandering.', 'Verandering in de hydrologie van rivieren door klimaatverandering.']"
28,155,28_Beleidsveronderstellingen,['Beleidsveronderstellingen'],"['De veronderstelling dat mensen niet in staat zijn om te veranderen kan leiden tot stagnatie in beleid.', 'Uitsluiting van groepen burgers door beleidskeuzes.', 'Onvoldoende aansluiting tussen mensbeelden van burgers en beleid.']"
29,155,29_Gegevensintegriteit,['Gegevensintegriteit'],"['Mogelijke fouten bij het openen van GRIB-bestanden.', 'Verlies van gegevensintegriteit door fouten in de gegevensverwerking.', 'Verlies van gegevens door onjuiste afhandeling van GRIB-bestanden.']"
30,148,30_Weerdata,['Weerdata'],"['Onvoldoende kennis over weerwaarschuwingen.', 'Onvoldoende gegevensverwerking in meteorologische modellen.', 'Onvoldoende nauwkeurigheid in meteorologische gegevens.']"
31,148,31_Beleidkwaliteit,['Beleidkwaliteit'],"['Onvoldoende inzicht in mensbeelden binnen het beleid.', 'Onvoldoende kennis over digitale ontwikkelingen en hun impact op de samenleving.', 'Onvoldoende aandacht voor sociale verschillen in beleid.']"
32,146,32_Zorguitgaven,['Zorguitgaven'],"['Toenemende vraag naar langdurige zorg door vergrijzing.', 'Stijging van de collectieve zorguitgaven door verlaging van het eigen risico.', 'Verhoging van collectieve zorguitgaven door verlaging van het eigen risico.']"
33,132,33_Meteorologische Afhankelijkheid,['Meteorologische Afhankelijkheid'],"['Afhankelijkheid van externe modellen voor windvoorspellingen.', 'Afhankelijkheid van meteorologische modellen voor nauwkeurige weersvoorspellingen.', 'Afhankelijkheid van meteorologische data van externe bronnen.']"
34,128,34_Kusterosie,['Kusterosie'],"['Verlies van sediment door erosie in de Noordzee.', 'Verlies van habitat door erosie van zoutmoerassen.', 'Verlies van kustlijn door erosie.']"
35,126,35_Onderwijsongelijkheid,['Onderwijsongelijkheid'],"['De voorspelkwaliteit van toetsen is lager voor leerlingen uit gezinnen met een lagere sociaal-economische status.', 'De voorspelkwaliteit van toetsen is lager voor leerlingen met een migratieachtergrond.', 'De voorspelkwaliteit van toetsen is minder voor leerlingen met lagere scores.']"
36,124,36_Conflict,['Conflict'],"['De politieke instabiliteit in de Sahel regio.', 'De dreiging van een hoge intensiteit regionale oorlog tussen Israël en Iran.', 'De rol van georganiseerde misdaad in de kush-markt.']"
37,121,37_Beveiliging,['Beveiliging'],"['Er is een risico van onvoldoende beveiliging van klant- en persoonsgegevens door organisaties.', 'Risico op onvoldoende beveiligingsmaatregelen bij niet-vitale aanbieders.', 'Er is een gebrek aan informatie over dreigingen en gevolgen voor Nederland.']"
38,112,38_Armoede,['Armoede'],"['Stijgende armoede onder kinderen', 'Toename van armoede.', 'Armoede en sociale ongelijkheid.']"
39,110,39_Migratie,['Migratie'],"['Ongelijkheid in de gevolgen van migratie', 'De invloed van migratie op sociale cohesie.', 'Onzekerheid over migratie.']"
40,92,40_Democratie,['Democratie'],"['De afhankelijkheid van kandidaat-lidstaten van EU-financiering voor hervormingen.', 'De politieke en culturele diversiteit van de EU neemt toe door de uitbreiding met kandidaat-lidstaten.', 'De democratie en rechtsstaat in kandidaat-lidstaten kunnen onder druk komen te staan door versnelde EU-uitbreiding.']"
41,88,41_Kosten,['Kosten'],"['Hoge kosten van algenteelt.', 'De productie van algen kan leiden tot hoge kosten.', 'Hoge kosten van algenproductie.']"
42,86,42_Beperkingen,['Beperkingen'],"['Beperkingen in evaluatie door data beschikbaarheid.', 'Beperkingen in de beschikbaarheid van gegevens.', 'Beperkingen in toegang tot gegevens voor monitoring.']"
43,80,43_Klimaatbeleid,['Klimaatbeleid'],"['Onvoldoende monitoring van NOx emissies.', 'De noodzaak voor aanvullende maatregelen om klimaatdoelen te bereiken.', 'De huidige investeringen zijn onvoldoende om de klimaatdoelen te behalen.']"
44,79,44_Toerisme Klimaatverandering,['Toerisme Klimaatverandering'],"['Klimaatverandering beïnvloedt toerisme in kustgebieden.', 'De economische gevolgen van klimaatverandering zijn significant voor toerisme in Europa.', 'Er is een gebrek aan onderzoek naar de impact van klimaatverandering op toerisme.']"
45,71,45_Polarisatie,['Polarisatie'],"['Polarisatie in de samenleving.', 'De negatieve invloed van het Turkse diasporabeleid op de Turks-Nederlandse gemeenschap.', 'De opkomst van radicaal rechtse partijen wordt als zorg ervaren.']"
46,68,46_Brandstofverbruik,['Brandstofverbruik'],"['Hoge brandstofverbruik in transport.', 'Onvoldoende brandstofverbruik in transport.', 'Afwijkingen in brandstofverbruik bij schepen.']"
47,60,47_Vaccinatieweigering,['Vaccinatieweigering'],"['De keuze van mensen om zich niet te laten vaccineren wordt als onterecht beschouwd.', 'Er zijn praktische barrières voor ongevaccineerden om zich te laten vaccineren.', 'Mensen ervaren sociale, cognitieve en praktische barrières om zich te laten vaccineren.']"
48,44,48_Voedseltekort,['Voedseltekort'],"['Lack of government planning and capacity hampers effective reconstruction.', 'De oorlog in Sudan veroorzaakt een nationale voedseltekort.', 'Differences of view between the Government of Iraq and donors affect funding and support.']"
49,29,49_Terugkeerintenties,['Terugkeerintenties'],"['Versobering van opvang voor Oekraïense ontheemden in EU-lidstaten.', 'De steun voor de opvang van Oekraïense ontheemden in Nederland is aan het afnemen.', 'Afname van terugkeerintenties onder Oekraïense ontheemden.']"
