Source,Filename,Bedreiging,Categorie,Citaat,Topic,TopicName
scp,2,Veranderingen in de samenleving kunnen leiden tot kwetsbaarheid voor verstoringen.,Sociaal & Maatschappelijk,"kleine veranderingen kunnen door de jaren heen optellen en leiden tot een punt waarop de samenleving kwetsbaar is voor verstoringen van binnenuit, of van buitenaf.",22,Sociale Cohesie
scp,3,Sociale ongelijkheid verzwakt sociale cohesie.,Sociaal & Maatschappelijk,grote sociale ongelijkheid op termijn de sociale cohesie in een samenleving aantast,22,Sociale Cohesie
scp,3,Digitalisering vergroot bestaande ongelijkheden.,Technologisch & digitaal,Digitalisering lijkt vaak te werken als een trendversterker die bestaande ongelijkheden in de samenleving vergroot,22,Sociale Cohesie
scp,3,Individualisering leidt tot verlies van sociale verbindingen.,Sociaal & Maatschappelijk,individualisering een wezenlijk element was dat aandacht behoefde,22,Sociale Cohesie
scp,3,Digitale ongelijkheid beïnvloedt sociale cohesie.,Sociaal & Maatschappelijk,Hoe staat het met de digitale ongelijkheid in Nederland en in welke mate is die verweven met sociale ongelijkheid?,22,Sociale Cohesie
scp,3,De opkomst van de netwerkmaatschappij kan leiden tot een afname van sociale cohesie.,Sociaal & Maatschappelijk,"Zal een netwerkmaatschappij die meer om individuele knooppunten draait dan om groepen, leiden tot nieuwe vormen van sociale cohesie?",22,Sociale Cohesie
scp,3,De invloed van technologische ontwikkelingen op sociale structuren.,Sociaal & Maatschappelijk,De invloed van digitalisering op sociale cohesie is in deze context een legitiem onderwerp.,21,Solidariteit
scp,3,Ongelijkheid in toegang tot digitale middelen.,Sociaal & Maatschappelijk,de gebruikskloof over sociaaleconomische status is al jaren consistent en prominent aanwezig,22,Sociale Cohesie
scp,3,Afname van vertrouwen in instituties door sociale ongelijkheid.,Sociaal & Maatschappelijk,afbreuk gedaan aan het onderlinge vertrouwen.,20,Vertrouwensoverheid
scp,3,De erosie van sociale banden door individualisering.,Sociaal & Maatschappelijk,de blijvende hechtheid van familiebanden mogelijk ook haar verklaring heeft in het vluchtiger of ‘dunner’ worden van andere contacten en verbindingen.,22,Sociale Cohesie
scp,3,De groeiende sociale afstanden door ongelijkheid.,Sociaal & Maatschappelijk,sociale afstanden die het gevolg zijn van ongelijkheid een belangrijke bepalende factor zijn,22,Sociale Cohesie
scp,3,De ontransparantie van datagedreven besluitvorming voor minder digitale burgers.,Sociaal & Maatschappelijk,"Datagedreven besluitvorming, die weinig transparant is, is erop gericht de burger te bewegen tot gedragsverandering die positief is voor de samenleving.",28,Beleidsveronderstellingen
scp,4,De kwaliteit van de samenleving kan afnemen door onvoldoende kennis en inzicht in beleidsimpact.,Sociaal & Maatschappelijk,"We kunnen alleen impact hebben op beleid als we begrijpen wanneer en waarom beleid werkt, of niet werkt.",31,Beleidkwaliteit
scp,4,Er is een risico op crises zoals de coronapandemie in de toekomst.,Gezondheid,"...crises zoals de coronapandemie, die we op dat terrein of op andere terreinen in de toekomst hoogstwaarschijnlijk weer meemaken.",21,Solidariteit
scp,4,De sociale samenhang kan onder druk komen te staan door maatschappelijke ontwikkelingen.,Sociaal & Maatschappelijk,...maatschappelijke ontwikkelingen die de kwaliteit van de samenleving beïnvloeden.,22,Sociale Cohesie
scp,4,"De kwaliteit van leven van mensen is afhankelijk van hulpbronnen, welzijn en participatie.",Sociaal & Maatschappelijk,"De kwaliteit van het leven van mensen: wat mensen hebben (bv. hulpbronnen), hoe mensen zich voelen (bv. welzijn) en wat zij doen (participatie).",31,Beleidkwaliteit
scp,4,De energietransitie en migratie zijn beleidsdossiers met brede welvaartsgevolgen.,Economisch,In 2025 zetten we verdere stappen in het verbeteren van het analysekader door analyses te maken van bredewelvaartsgevolgen van voorgenomen beleid op twee specifieke beleidsdossiers: de energietransitie en migratie.,17,Effectiviteit
scp,4,De houdbaarheid van de zorg en ondersteuning staat onder druk door demografische ontwikkelingen.,Gezondheid,"De houdbaarheid van de zorg en ondersteuning staat onder druk door demografische ontwikkelingen, schaarse overheidsfinanciën, en krapte op de arbeidsmarkt.",32,Zorguitgaven
scp,4,De kwaliteit van de samenleving staat onder druk door de ontwrichtende gevolgen van klimaatverandering.,Ecologisch,De huidige en toekomstige kwaliteit van de samenleving staat onder druk door de ontwrichtende gevolgen van klimaatverandering voor onze maatschappij.,44,Toerisme Klimaatverandering
scp,4,De relatie van burgers tot de overheid beïnvloedt de responsiviteit en rechtvaardigheid van de overheid.,Sociaal & Maatschappelijk,De relatie van burgers tot de overheid: hoe responsief is de overheid? Hoe procedureel rechtvaardig is de overheid in haar doen en laten?,28,Beleidsveronderstellingen
scp,4,Kansengelijkheid en sociale mobiliteit zijn actuele vraagstukken die aandacht vereisen.,Sociaal & Maatschappelijk,"we doen uitspraken over actuele vraagstukken op het gebied van onder andere kansengelijkheid, sociale mobiliteit, emancipatie en discriminatie.",22,Sociale Cohesie
scp,4,Digitalisering kan leiden tot grotere inkomens- en vermogensongelijkheid.,Economisch,Dit zorgt naar verwachting voor grotere inkomens- en vermogens­ongelijkheid.,22,Sociale Cohesie
scp,4,De huidige kennisvoorziening over de samenleving na schokken is niet actueel genoeg.,Sociaal & Maatschappelijk,Allereerst heeft het maatschappelijk beeld over de samenleving dat we momenteel na schokken kunnen schetsen niet het actuele karakter dat bij substantiële schokken nodig is.,31,Beleidkwaliteit
scp,5,Somberheid over de toekomst van Nederland en de politiek.,Sociaal & Maatschappelijk,de stemming over de maatschappij en politiek is nog steeds somber in vergelijking met de afgelopen vijftien jaar.,20,Vertrouwensoverheid
scp,5,Conflict en onvrede in de samenleving.,Sociaal & Maatschappelijk,Wel zien mensen meer conflict in de samenleving.,22,Sociale Cohesie
scp,5,Negatieve verwachtingen over de economie.,Economisch,34% verwacht dat het slechter zal gaan met de economie.,18,Economische Daling
scp,5,Laag vertrouwen in de politiek en democratische processen.,Sociaal & Maatschappelijk,Mensen met een basisonderwijs- of een vmbo-opleiding hebben het minste vertrouwen in de politiek.,20,Vertrouwensoverheid
scp,5,Zorgen over immigratie en integratie.,Sociaal & Maatschappelijk,"Immigratie en integratie, politiek en bestuur, wonen, inkomen en economie, en de manier van samenleven het vaakst genoemd als maatschappelijk probleem.",39,Migratie
scp,5,Zorgen over de woningmarkt en huisvesting.,Sociaal & Maatschappelijk,"Voldoende huisvesting voor iedereen, dus minima, starters en vluchtelingen vind ik belangrijk.",39,Migratie
scp,5,Zorgen over klimaat en milieu.,Ecologisch,"Maar ook klimaat, milieu en veiligheid is belangrijk.",44,Toerisme Klimaatverandering
scp,5,Verlies van vertrouwen in de overheid door niet ingeloste verwachtingen.,Sociaal & Maatschappelijk,"Als de verwachtingen niet worden ingelost en partijen zelf, of de kiezers, dat wijten aan externe partijen die de verandering in de weg zouden staan...",20,Vertrouwensoverheid
scp,5,Geopolitieke spanningen en de impact op Nederland.,Geopolitiek & militair,"‘De afgelopen jaren is de internationale context grimmiger geworden door de pandemie, de oorlog in Oekraïne.'",10,Oorlog Oekraïne
scp,5,Afname van steun voor internationale samenwerking.,Sociaal & Maatschappelijk,‘In 2022 doneerde bijvoorbeeld 44% van de Nederlandse huishoudens geld aan een internationale hulporganisatie.’,32,Zorguitgaven
scp,6,Tekort aan passende en betaalbare woningen.,Sociaal & Maatschappelijk,Nederland kampt met een tekort aan passende en betaalbare woningen.,14,Energiebesparing
scp,6,Ongelijkheden op de woningmarkt.,Sociaal & Maatschappelijk,Tussen welke groepen mensen zijn ongelijkheden zichtbaar op het domein wonen?,14,Energiebesparing
scp,6,Verlies van solidariteit tussen burgers.,Sociaal & Maatschappelijk,Maar het is ook een (her)verdelingsvraagstuk dat vraagt om solidariteit tussen burgers.,22,Sociale Cohesie
scp,6,Vertraging in woningbouw door bezwaarprocedures.,Economisch,Woningbouw vertraagd door bezwaarprocedures.,14,Energiebesparing
scp,6,Jongvolwassenen wonen langer bij hun ouders.,Sociaal & Maatschappelijk,Zo wonen jongvolwassenen langer bij hun ouders.,11,Ongelijkheid
scp,6,Hoge woonlasten en geringe kwaliteit van woningen.,Sociaal & Maatschappelijk,"Jongvolwassenen wonen relatief vaak in een particuliere huurwoning en zowel jongvolwassenen als particuliere huurders ervaren vaker meerdere knelpunten met hun woning (bv. relatief hoge woonlasten, geringe kwaliteit, ontevreden met de woning).",14,Energiebesparing
scp,6,Onzekerheid over de steun van burgers bij verandering van het systeem.,Sociaal & Maatschappelijk,Beleidsmakers zijn echter onzeker over de steun van burgers bij verandering van het systeem en over hun bereidheid om solidair met anderen te zijn.,20,Vertrouwensoverheid
scp,6,Afstand van burgers tot het systeem van woningbeleid.,Sociaal & Maatschappelijk,Het toont de afstand die burgers tot ‘het systeem’ ervaren.,28,Beleidsveronderstellingen
scp,6,Moeilijkheden bij het verkrijgen van financiering en vergunningen voor woningbouwinitiatieven.,Economisch,...omdat financiering en vergunningen vaak moeilijk rond zijn te krijgen.,14,Energiebesparing
scp,6,Discriminatie op de woningmarkt.,Sociaal & Maatschappelijk,discriminatie (Britt et al. 2023; C ij l F l l ),14,Energiebesparing
scp,7,Verlies van sociale cohesie door demografische veranderingen.,Sociaal & Maatschappelijk,"Als de bevolking in de toekomst van samenstelling verandert, door onder meer doorgaande vergrijzing en migratie, kan dat de sociale cohesie beïnvloeden.",22,Sociale Cohesie
scp,7,Verlies van vertrouwen in instituties.,Sociaal & Maatschappelijk,Het vertrouwen in instituties kent een behoorlijke variatie.,20,Vertrouwensoverheid
scp,7,Afname van sociale participatie.,Sociaal & Maatschappelijk,"Wel tendeert sociale participatie, voor lidmaatschap van verenigingen en vrijwilligerswerk, naar een lichte afname.",22,Sociale Cohesie
scp,7,Verlies van saamhorigheid door online ontmoetingen.,Sociaal & Maatschappelijk,"Er zijn nieuwe, online, manieren van ontmoeting gekomen",22,Sociale Cohesie
scp,7,Sociale ongelijkheden kunnen de sociale cohesie verzwakken.,Sociaal & Maatschappelijk,sociale ongelijkheden.,22,Sociale Cohesie
scp,7,Discriminatie creëert ongelijkheid en wantrouwen tussen bevolkingsgroepen.,Sociaal & Maatschappelijk,"Discriminatie creëert ongelijkheid, wantrouwen en vijandigheid tussen verschillende groepen in de bevolking.",22,Sociale Cohesie
scp,7,Veranderende economische eisen aan het personeelsbestand.,Economisch,"door verbeterde toegang tot onderwijs en veranderende economische eisen aan het personeelsbestand, nam het aandeel mensen met een hbo- of wo-opleiding toe.",21,Solidariteit
scp,7,Afname van religieuze betrokkenheid.,Sociaal & Maatschappelijk,Religieuze betrokkenheid in Nederland.,22,Sociale Cohesie
scp,7,Hoge arbeidsmigratie en asielmigratie.,Sociaal & Maatschappelijk,"De door NIDI en CBS onderscheiden varianten verschillen zowel in bevolkingsomvang (groei en krimp) als in samenstelling van de bevolking (hoge arbeidsmigratie, hoge asielmigratie, lage migratie, meer vergrijzing en meer vergroening).",39,Migratie
scp,7,Afname van institutioneel vertrouwen door veranderingen in de samenleving.,Sociaal & Maatschappelijk,"Ook het institutioneel vertrouwen verandert, maar dat zal in dit scenario juist een forse impuls krijgen.",20,Vertrouwensoverheid
scp,8,Toenemende polarisatie in de samenleving.,Sociaal & Maatschappelijk,...zorgen over (toenemende) polarisatie en een gebrek aan verbinding tussen andersdenkenden in de samenleving.,45,Polarisatie
scp,8,Verlies van sociale cohesie door diversiteit.,Sociaal & Maatschappelijk,‘Een divers personeelsbestand de samenwerking en het gevoel van verbondenheid met het bedrijf of team onder druk kan zetten.’,22,Sociale Cohesie
scp,8,Minder sociale cohesie in buurten.,Sociaal & Maatschappelijk,"Volgens onze literatuurstudie leiden achterstanden op deze terreinen vaak tot het ervaren van minder sociale cohesie, met name in buurten.",22,Sociale Cohesie
scp,8,Etnische diversiteit in buurten vermindert sociale cohesie.,Sociaal & Maatschappelijk,etnische diversiteit tot minder ervaren buurtcohesie leidt,22,Sociale Cohesie
scp,8,Discriminatie op de werkvloer.,Sociaal & Maatschappelijk,50 Van de vrouwen voelt 31% zich weleens gediscrimineerd (tegen 20% van de mannen); van de lhb’ers voelt 36% zich op het werk gediscrimineerd (tegen 24% van de heteroseksuelen) en van de werkenden met een beperking voelt 39% zich gediscrimineerd (tegen 22% van de werkenden zonder beperking).,22,Sociale Cohesie
scp,8,Spanningen tussen verschillende bevolkingsgroepen in de buurt.,Sociaal & Maatschappelijk,"‘Bovendien kunnen belangen van bewoners nu eenmaal botsen, zo laten bijvoorbeeld spanningen tussen jongeren en ouderen zien.’",22,Sociale Cohesie
scp,8,Ongelijke kansen voor minderheden in de samenleving.,Sociaal & Maatschappelijk,Het weerbarstige karakter van ongelijke kansen.,22,Sociale Cohesie
scp,8,De sociale inclusie van vrouwen en werknemers met een niet-westerse migratieachtergrond is onvoldoende.,Sociaal & Maatschappelijk,Het onderzoek laat zien dat de sociale inclusie van vrouwen en werknemers met een niet westerse migratieachtergrond soms te wensen overlaat.,11,Ongelijkheid
scp,9,Krapte op de arbeidsmarkt in vitale sectoren.,Sociaal & Maatschappelijk,De krapte in sommige sectoren van de arbeidsmarkt is een serieuze maatschappelijke uitdaging.,11,Ongelijkheid
scp,9,Belemmeringen voor LLO door gebrek aan tijd en geld.,Economisch,Het ontbreken van de tijd die of het geld dat nodig is voor scholing.,31,Beleidkwaliteit
scp,9,Onvoldoende aansluiting tussen mensbeelden van burgers en beleid.,Sociaal & Maatschappelijk,"Is het mensbeeld dat burgers van zichzelf en andere burgers hebben bij dit onderwerp vergelijkbaar met de mensbeelden van beleid over burgers, of zijn ze heel anders?",28,Beleidsveronderstellingen
scp,9,De verantwoordelijkheid voor loopbaanontwikkeling ligt voornamelijk bij individuele burgers.,Sociaal & Maatschappelijk,"‘De overheid biedt je het al aan hè, ze zetten het open voor je. Je kan, je hebt gewoon kans om in te schrijven, je kan gewoon meedoen, maar dan moet je het nog wel zelf doen’",4,Ondersteuning
scp,9,Mensen weten niet wat de mogelijkheden zijn voor LLO.,Sociaal & Maatschappelijk,Mensen die niet aan LLO doen omdat ze niet weten wat de mogelijkheden zijn.,31,Beleidkwaliteit
scp,9,De intrinsieke motivatie van mensen is cruciaal voor deelname aan LLO.,Sociaal & Maatschappelijk,Ze zien het ‘willen’ in de zin van de (intrinsieke) motivatie als de belangrijkste drijfveer voor LLO-deelname.,4,Ondersteuning
scp,9,Personeelstekorten in kraptesectoren door vergrijzing en ontgroening.,Sociaal & Maatschappelijk,"De arbeidsmarkt heeft te maken met vergrijzing, ontgroening en bijbehorende personeelstekorten in kraptesectoren.",11,Ongelijkheid
scp,9,De overheid heeft onvoldoende oog voor verschillen tussen burgers.,Sociaal & Maatschappelijk,"‘Er moet veel meer contact zijn tussen die overheid en die burger, dat mist volledig.’",28,Beleidsveronderstellingen
scp,9,De sociale en institutionele context kan de zelfredzaamheid van individuen ondermijnen.,Sociaal & Maatschappelijk,"De groep voor wie de eisen soms te hoog gegrepen zijn, is niet beperkt tot ‘kwetsbaren’; ook mensen met een goede opleiding en een goede maatschappelijke positie kunnen (zeker op momenten dat het leven tegenzit) in situaties verzeild raken waarin hun zelfredzaamheid ontoereikend is.",28,Beleidsveronderstellingen
scp,9,De veronderstelling dat individuen altijd in staat zijn om rationele keuzes te maken is onrealistisch.,Gezondheid,Bovendien laat gedragswetenschappelijk onderzoek zien dat het vermogen van mensen om informatie te wegen en rationele beslissingen te nemen begrensd is.,28,Beleidsveronderstellingen
scp,10,De bereidheid van burgers om risico's en hulpmiddelen te delen met andere landen is niet vanzelfsprekend.,Sociaal & Maatschappelijk,"De bereidheid om samen risico’s en hulpmiddelen te delen met andere landen, hangt niet slechts af van de nationale en de Europese overheid, maar ook van de burgers die deze overheden vertegenwoordigen.",24,Defensie-uitgaven
scp,10,De coronapandemie heeft risico's voor de gezondheid van de inwoners van Nederland.,Gezondheid,"risico’s voor de veiligheid, gezondheid en het economisch welzijn van de inwoners van Nederland – en dus ook de oplossingen – het niveau van landsgrenzen overstijgen.",21,Solidariteit
scp,10,De Oekraïne-oorlog heeft risico's voor de economische stabiliteit van Nederland.,Economisch,"risico’s voor de veiligheid, gezondheid en het economisch welzijn van de inwoners van Nederland – en dus ook de oplossingen – het niveau van landsgrenzen overstijgen.",10,Oorlog Oekraïne
scp,10,De internationale verwevenheid van Nederland neemt toe.,Geopolitiek & militair,internationale verwevenheid van Nederland neemt steeds meer toe (WRR 2010).,12,Afhankelijkheid
scp,10,"Beleid kan niet altijd worden begrepen door burgers, wat leidt tot ondoeltreffendheid.",Sociaal & Maatschappelijk,Besluiten kunnen niet worden begrepen of,28,Beleidsveronderstellingen
scp,10,Onvoldoende betrouwbare informatie over internationale gebeurtenissen.,Sociaal & Maatschappelijk,Het beschikken over betrouwbare informatie over internationale gebeurtenissen is een noodzakelijke voorwaarde om mee te denken en te praten over Europese solidariteit.,37,Beveiliging
scp,10,De kwaliteit van leven van inwoners van Nederland wordt beïnvloed door internationale gebeurtenissen.,Sociaal & Maatschappelijk,"Dit heeft niet alleen gevolgen voor direct getroffenen in Oekraïne, maar ook (indirecte) gevolgen voor de kwaliteit van leven van inwoners van Nederland.",31,Beleidkwaliteit
scp,10,Er is een spanningsveld tussen Europese samenwerking en nationale autonomie.,Geopolitiek & militair,"De behoefte aan een Europese aanpak van grensoverschrijdende problemen enerzijds en de nationale verantwoordelijkheid en autonomie van EU-lidstaten anderzijds, zorgt ook voor een spanningsveld (WRR en KNAW 2021).",24,Defensie-uitgaven
scp,10,De coronapandemie heeft geleid tot een beroep op solidariteit van burgers.,Sociaal & Maatschappelijk,de Nederlandse en Europese overheid riepen tijdens de coronapandemie en de Oekraïne-oorlog burgers op tot solidariteit.,21,Solidariteit
scp,10,De Oekraïne-oorlog heeft geleid tot geopolitieke onrust in Europa.,Geopolitiek & militair,Sinds de uitbraak van de Oekraïne-oorlog is er sprake van geopolitieke onrust op het Europese continent.,10,Oorlog Oekraïne
scp,10,De coronapandemie heeft geleid tot onderwijsachterstanden bij jongeren.,Gezondheid,"Voor sommige groepen werken de gezondheids- en sociale gevolgen langer door, zoals voor jongeren met onderwijsachterstanden.",11,Ongelijkheid
scp,10,De coronapandemie heeft geleid tot tijdelijke steun bij werkloosheid in noodsituaties.,Economisch,tijdelijke steun bij werkloosheid in noodsituaties (het SURE-instrument),21,Solidariteit
scp,10,De coronapandemie heeft gevolgen voor de zorg voor zieken.,Gezondheid,de consequenties voor de zorg voor zieken en de gevolgen van de economische en sociaal-maatschappelijke (herstel)maatregelen.,21,Solidariteit
scp,10,De coronapandemie heeft geleid tot een donatiebeleid voor lage- en middeninkomenslanden.,Sociaal & Maatschappelijk,"de nationale overheid zich, naast de effectieve bescherming van de Nederlandse bevolking, in voor een donatiebeleid ten behoeve van lageen middeninkomenslanden.",21,Solidariteit
scp,10,De coronapandemie heeft geleid tot vragen over welke risico’s en lasten burgers willen delen.,Sociaal & Maatschappelijk,"toch leidden beide dossiers tot vragen over welke risico’s en lasten burgers willen delen, met wie en vanuit welke overweging.",21,Solidariteit
scp,10,De coronapandemie heeft geleid tot een internationale solidariteitstest.,Sociaal & Maatschappelijk,de coronapandemie voortdurend een solidariteitstest in haar toespraak in 2020 over de Staat van de Unie.,21,Solidariteit
scp,10,De coronapandemie heeft invloed op de volksgezondheid en de economie.,Gezondheid,"‘Maatregelen ter bescherming van de volksgezondheid, arbeid, inkomen en bestaanszekerheid.’",21,Solidariteit
scp,10,De Oekraïne-oorlog heeft invloed op de bestaanszekerheid van Nederlanders.,Economisch,Deze veranderingen van consumentenprijzen (bv. het duurder worden van boodschappen) en de bijhorende inflatie hebben nog steeds grote impact op de bestaanszekerheid en levenskwaliteit van Nederlanders.,10,Oorlog Oekraïne
scp,10,De coronapandemie heeft geleid tot een beroep op saamhorigheid.,Sociaal & Maatschappelijk,Tijdens de pandemie maande de Nederlandse overheid aan tot saamhorigheid en het beschermen van anderen.,21,Solidariteit
scp,10,De coronapandemie heeft geleid tot een druk op de verzorgingsstaat.,Sociaal & Maatschappelijk,het gevaar voor het functioneren van de verzorgingsstaat,21,Solidariteit
scp,10,De coronapandemie heeft geleid tot een afname van politieke betrokkenheid van burgers.,Sociaal & Maatschappelijk,Het volledig onderbrengen van de publieke opinie in beleid kan mogelijk leiden tot een afnemende politieke betrokkenheid van burgers.,20,Vertrouwensoverheid
scp,10,De coronapandemie heeft geleid tot een afname van vertrouwen in de politiek en overheid.,Sociaal & Maatschappelijk,Het vertrouwen in de politiek en overheid nam in het afgelopen decennium echter af.,20,Vertrouwensoverheid
scp,10,De coronapandemie heeft geleid tot een afname van solidariteit met andere landen.,Sociaal & Maatschappelijk,Wanneer zij bezorgd zijn over solidariteit in Nederland ervaren ze een spagaat tussen de manier waarop de overheid nationale en Europese solidariteit vormgeeft.,21,Solidariteit
scp,10,De coronapandemie heeft geleid tot een afname van steun voor asielzoekers uit veilige landen.,Sociaal & Maatschappelijk,een gedeelte van de ondervraagden gunt asielzoekers uit veilige landen bijvoorbeeld minder recht op het sociaal vangnet in de EU dan Oekraïense vluchtelingen.,21,Solidariteit
scp,10,De coronapandemie heeft geleid tot een afname van steun voor solidariteit met landen in economische of schuldencrises.,Sociaal & Maatschappelijk,Er is minder steun als het gaat om economische of schuldencrises in andere landen.,21,Solidariteit
scp,10,De coronapandemie heeft geleid tot een afname van steun voor solidariteit met vluchtelingen.,Sociaal & Maatschappelijk,de ervaren spagaat tussen nationale en grensoverschrijdende solidariteit ook een legitimiteitskwestie is,21,Solidariteit
scp,10,De coronapandemie heeft geleid tot een afname van steun voor solidariteit met Oekraïense oorlogsslachtoffers.,Sociaal & Maatschappelijk,De perceptie dat er al andere hulpgevers zijn speelt eveneens een belemmerende rol.,21,Solidariteit
scp,10,De coronapandemie heeft geleid tot een afname van steun voor solidariteit met mensen in andere landen.,Sociaal & Maatschappelijk,De perceptie dat er al andere hulpgevers zijn speelt eveneens een belemmerende rol.,21,Solidariteit
